箱号,箱型,外箱尺寸,空运体积重(kg),SKU编号,产品名称,品类,数量,本箱实重(kg),计费重量(kg),是否抛货,超重,头程运费(¥),单件头程(¥)
BOX-001,2号箱(30×30×30),30×30×30,4.5,JP-0015,陶瓷杯垫(黑色),陶瓷,19,14.12,14.12,✅实重,✅,635.4,8.47
BOX-001,2号箱(30×30×30),30×30×30,4.5,JP-0030,打蛋器(黄色),金属,3,14.12,14.12,✅实重,✅,635.4,8.47
BOX-001,2号箱(30×30×30),30×30×30,4.5,JP-0034,硅胶密封盖套装(绿色),硅胶,20,14.12,14.12,✅实重,✅,635.4,8.47
BOX-001,2号箱(30×30×30),30×30×30,4.5,JP-0053,不锈钢量勺套装(白色),金属,2,14.12,14.12,✅实重,✅,635.4,8.47
BOX-001,2号箱(30×30×30),30×30×30,4.5,JP-0006,硅胶冰格(红色),硅胶,1,14.12,14.12,✅实重,✅,635.4,8.47
BOX-001,2号箱(30×30×30),30×30×30,4.5,JP-0078,不锈钢夹子(黑色),金属,6,14.12,14.12,✅实重,✅,635.4,8.47
BOX-001,2号箱(30×30×30),30×30×30,4.5,JP-0091,陶瓷杯垫(灰色),陶瓷,19,14.12,14.12,✅实重,✅,635.4,8.47
BOX-001,2号箱(30×30×30),30×30×30,4.5,JP-0060,开瓶器(白色),金属,3,14.12,14.12,✅实重,✅,635.4,8.47
BOX-001,2号箱(30×30×30),30×30×30,4.5,JP-0076,厨房剪刀(黑色),金属,1,14.12,14.12,✅实重,✅,635.4,8.47
BOX-001,2号箱(30×30×30),30×30×30,4.5,JP-0019,陶瓷调味罐(灰色),陶瓷,1,14.12,14.12,✅实重,✅,635.4,8.47
BOX-002,2号箱(30×30×30),30×30×30,4.5,JP-0091,陶瓷杯垫(灰色),陶瓷,6,11.63,11.63,✅实重,✅,523.35,8.44
BOX-002,2号箱(30×30×30),30×30×30,4.5,JP-0023,硅胶密封盖套装(蓝色),硅胶,14,11.63,11.63,✅实重,✅,523.35,8.44
BOX-002,2号箱(30×30×30),30×30×30,4.5,JP-0062,厨房剪刀(粉色),金属,6,11.63,11.63,✅实重,✅,523.35,8.44
BOX-002,2号箱(30×30×30),30×30×30,4.5,JP-0060,开瓶器(白色),金属,4,11.63,11.63,✅实重,✅,523.35,8.44
BOX-002,2号箱(30×30×30),30×30×30,4.5,JP-0101,硅胶手套(绿色),硅胶,3,11.63,11.63,✅实重,✅,523.35,8.44
